qid,type,question,expected_points,source_document,gemini_score,gemini_citations,deepknown_score,deepknown_citations
G-085,complex,我们在经办潮州公积金贷款业务。买二手房的话评估报告还要不要提供？2025年新申请贷款要签征信授权吗、还要不要纸质信用报告？,"二手评估《潮州市住房公积金贷款部分政策调整通知》(53099829)：自2020年1月1日起取消纯公积金贷款的二手房评估报告(组合贷款涉及商业银行资金的按商业银行要求办理)
征信授权《潮州市个人住房公积金贷款征信补授权工作通知》(53096290)：自2025年1月1日起新申请公积金贷款的借款人，提交申请时需本人现场签署授权书，无需再提供纸质版个人信用报告
推导：纯公积金二手房贷款已免评估报告，2025年起新申请须本人现场签征信授权书、免纸质信用报告",关于调整我市住房公积金个人住房贷款部分政策的通知;关于开展个人住房公积金贷款征信补授权工作的通知,1.0,5,1.0,关于调整我市住房公积金个人住房贷款部分政策的通知 | 关于明确住房公积金个人抵押贷款业务有关要求的通知 | 关于开展个人住房公积金贷款征信补授权工作的通知 | 关于公布《潮州市“无纸质证明”（部门间协查）事项清单》的通知
G-088,complex,我们在经办残疾人保障业务，需要核实潮州残保金和东莞托养机构两套标准。潮州用人单位安排残疾人就业不足几比要缴残保金、什么时候年审、逾期按日加收多少滞纳金？东莞寄宿制残疾人托养机构场所建筑面积至少多大、床位多少、护理人员怎么配？,"潮州《残疾人就业保障金征收办法》(53106486)：用人单位安排残疾人就业达不到本单位上年度平均在职职工总数1.5%比例的须缴保障金、须与残疾人签1年以上劳动合同；每年3月31日前办理年度审验、7-9月征收上一年度保障金；收到缴款通知30日内缴纳，逾期按日加收5‰滞纳金
东莞《购买残疾人托养照护服务实施暂行办法》(52427769)：寄宿制托养照护机构场所建筑面积不低于510㎡、床均面积不低于34㎡、床位不少于50床；护理人员配备比例不低于1:5，社工/医护/康复治疗师/心理辅导员/就业辅导员总数与服务对象比例不低于1:10
推导：潮州残保金按“残疾人就业<1.5%比例”征收(3月31日年审/7-9月征/逾期5‰/日)；东莞托养机构卡“510㎡+床均34㎡+≥50床+护理1:5”；分属残疾人按比例就业与托养照护两套标准",印发《潮州市残疾人就业保障金征收办法》的通知;东莞市残疾人联合会关于印发《东莞市购买残疾人托养照护服务实施暂行办法》的通知,0.8333333333,12,1.0,印发《潮州市残疾人就业保障金征收办法》的通知 | 财政部 国家税务总局 中国残疾人联合会关于印发《残疾人就业保障金征收使用管理办法》的通知 | 温家宝签署国务院令 公布《残疾人就业条例》 | 广东省残疾人联合会 广东省财政厅 广东省地方税务局 关于落实小微企业免征残疾人就业保障金的通知 | 东莞市残疾人联合会关于印发《东莞市购买残疾人托养照护服务实施暂行办法》的通知
G-089,simple,我们在审核韶关一家辅助性就业机构的补贴申报，他们稳定服务的残疾人员工约四十来号人，问我这种规模一年大概能补多少，我得按标准核算。,《韶关市促进残疾人就业创业实施办法（试行）》｜辅助性就业机构按月均服务人数给予补贴：服务人数≥40人补5万元/年、≥30人补3万元/年、≥20人补2万元/年,关于印发《韶关市促进残疾人就业创业实施办法（试行）》的通知,1.0,11,1.0,关于印发《韶关市促进残疾人就业创业实施办法（试行）》的通知
G-090,complex,我们在执法查处损坏消防水源违法行为，需要核实揭阳和梅州两地处罚标准。损坏、挪用消防水源或者遮挡消火栓，两地分别怎么罚、对单位和个人罚多少？两地办法分别从哪天起施行？,"揭阳《消防水源管理办法》(41982364)：损坏、挪用或擅自拆除、停用消防水源及埋压、圈占、遮挡消火栓的，由消防救援机构责令改正，对单位处5000元以上50000元以下罚款、对个人处警告或500元以下罚款；历史文化街区室外消火栓间距不宜大于80米；自2023年12月1日起施行
梅州《消防水源管理办法》(54265894)：同样违法情形对单位处5000元以上5万元以下罚款、对个人处警告或500元以下罚款；经责令改正拒不改正的依法强制执行、费用由违法者承担；自2019年12月1日起施行
差异：两地罚款标准完全一致(单位5000-50000元/个人≤500元)，施行时间揭阳(2023.12.1)晚于梅州(2019.12.1)约四年",揭阳市消防水源管理办法;《梅州市消防水源管理办法》,0.8,15,0.8,揭阳市消防水源管理办法 | 《梅州市消防水源管理办法》 | 关于公开征求对《梅州市消防水源管理条例（草案送审稿）》意见的公告
G-091,unanswerable,我们在做政策研究、想了解一份文件是怎么起草的，你帮我找它起草过程中的内部征求意见稿、修改痕迹和不同版本对比。,【诚实查无】文件起草过程中的内部征求意见稿、修改痕迹属过程性工作信息、一般不主动公开，本知识库只收录正式发布的文件。模型应诚实回复“过程性内部信息本库无，可依《政府信息公开条例》了解是否可申请公开”，不可编造起草过程或内部版本。,,1.0,0,1.0,
G-092,simple,广州市户籍家庭住房租赁补贴的每平方米标准是多少，补贴金额由哪些面积、人口和系数参数共同计算？,广州市住房和城乡建设局关于进一步加强户籍家庭住房保障工作的通知 | 补贴标准为建筑面积每平方米37元，住房租赁补贴各项构成及系数标准见附件2，计算公式为： 住房租赁补贴＝（人均保障建筑面积标准－人均自有产权住房建筑面积）×家庭保障人口×补贴标准×收入补贴系数×区域补贴系数,广州市住房和城乡建设局关于进一步加强户籍家庭住房保障工作的通知,1.0,10,1.0,广州市住房和城乡建设局关于进一步加强户籍家庭住房保障工作的通知
G-093,complex,我们在梳理小排量乘用车车辆购置税税率沿革。1.6升及以下乘用车2015到2016年、2017年、2018年分别按多少税率征收？逐年怎么变的？,"2015.10.1-2016.12.31《减征1.6升及以下排量乘用车车辆购置税》(18921716)：对购置1.6升及以下排量乘用车暂减按5%税率征收车辆购置税
2017年(18923421)：自2017.1.1至12.31减按7.5%税率征收
2018年起(18923421)：自2018.1.1起恢复按10%法定税率征收
推导：小排量车购税税率5%(2015-2016)→7.5%(2017)→10%(2018恢复法定)，优惠分两年退出",国家税务总局关于贯彻落实减征1.6升及以下排量乘用车车辆购置税有关问题的通知;财政部 国家税务总局关于减征1.6升及以下排量乘用车车辆购置税的通知,1.0,6,1.0,国家税务总局关于贯彻落实减征1.6升及以下排量乘用车车辆购置税有关问题的通知 | 财政部 国家税务总局关于减征1.6升及以下排量乘用车车辆购置税的通知
G-097,simple,韶关市医疗保障事业管理中心接受捐赠或资助时，应遵守哪些原则，捐赠财产应按什么范围使用？,韶关市医疗保障事业管理中心章程 | 本单位接受捐赠、资助和使用的原则 本单位接受捐赠须严格遵守法律法规，符合章程规定的宗旨和业务范围，并根据宗旨和业务范围使用,韶关市医疗保障事业管理中心章程,1.0,10,1.0,韶关市医疗保障事业管理中心章程
G-098,simple,广州市2026年口岸建设项目由行政事业单位申报时，支持比例和单个项目支持金额上限分别是多少？,广州市商务局关于做好2026年省级促进开放型经济发展水平提升专项资金（口岸建设事项）项目入库申报工作的函 | 四、支持标准 对行政事业单位作为申报主体的项目，单个项目的支持额度不超过项目所需资金的70%，且不超过2000万元,广州市商务局关于做好2026年省级促进开放型经济发展水平提升专项资金（口岸建设事项）项目入库申报工作的函,1.0,4,1.0,广州市商务局关于做好2026年省级促进开放型经济发展水平提升专项资金（口岸建设事项）项目入库申报工作的函
G-099,simple,我们市在谋划海绵城市建设，想了解国家要求到2020年城市建成区要有多大比例面积达标，需要核实目标指标。,《关于推进开发性金融支持海绵城市建设的通知》｜到2020年城市建成区20%以上面积达到海绵城市建设目标要求；到2030年达到80%以上,住房城乡建设部 国家开发银行关于推进开发性金融支持海绵城市建设的通知,0.5,2,1.0,三部门启动2016年中央财政支持海绵城市建设试点部门新闻 | 住房城乡建设部 国家开发银行关于推进开发性金融支持海绵城市建设的通知 | 关于政协十三届全国委员会第一次会议第0093号（城乡建设类006号）提案答复的函
G-100,complex,我们在核定装修保证金收费标准，需要核实潮州两版规则。现在装修保证金每户最多收多少、装修人员出入证押金每块多少？装修完多久退？,"潮州《规范政府指导价物业服务收费行为的通知》(53094921，2018.2.5起)：装修保证金(押金)每户最高不超过2000元、装修人员出入证押金每块10元；住户装修完成后物业应及时查验并出具书面查验结论通知书，自查验合格之日起15个工作日内退还装修保证金(押金)
潮州《物业服务收费管理实施办法》(53095024，2006.11.1起)：装修保证金由业主与物业企业书面约定、不装修不得收取；业主装修完毕经查验未损坏公共部位的，自检查合格之日起15个工作日内退还
推导：装修保证金≤2000元/户、出入证押金10元/块；两版均要求查验合格后15个工作日内退还(2006旧版与2018新版一致)",关于规范政府指导价物业服务收费行为的通知;印发《潮州市物业服务收费管理实施办法》的通知,0.75,8,1.0,关于规范政府指导价物业服务收费行为的通知 | 关于规范物业服务收费有关问题的通知 | 印发《潮州市物业服务收费管理实施办法》的通知 | 广东省发展改革委 广东省住房城乡建设厅关于进一步规范物业服务收费的通知
G-102,complex,潮州市申报国家中小企业公共服务示范平台时，信息或培训类平台与技术、创业或融资类平台每家服务企业数最低分别是多少？,潮州市工业和信息化局关于组织推荐2022年度国家中小企业公共服务示范平台的通知 | 1. 信息类或培训类平台每家服务企业数下限：1000家；2. 技术类、创业类或融资类平台每家服务企业数下限：500家,潮州市工业和信息化局关于组织推荐2022年度国家中小企业公共服务示范平台的通知,1.0,12,1.0,潮州市工业和信息化局关于组织推荐2022年度国家中小企业公共服务示范平台的通知
G-104,unanswerable,我们在研究新业态政策、广东有没有针对'数字游民'的签证或居住便利政策？有的话我们好纳入招商引才工具包。,【诚实查无】广东并无针对“数字游民”的专门签证或居住政策，本知识库未收录此类事项（签证属国家移民管理事权）。模型应诚实回复“本库未查到该政策，签证事宜以国家移民管理部门为准”，不可编造。,,1.0,0,1.0,广东省科学技术厅关于开展外籍和港澳台高层次人才认定工作的通知 | 中共广东省委 广东省人民政府关于深入实施创新驱动发展战略加快构建全过程创新链的意见（2024年7月24日） | 广东省人力资源和社会保障厅关于 省政协十二届三次会议第0083号提案会办意见的函 | 广东省人力资源和社会保障厅关于省政协 十二届二次会议第20191051号、20191052号、20191053号提案会办意见的函 | 中
G-106,complex,揭阳市2025年高层次人才安居保障中，院士级顶尖人才与A、B、C类人才的补助上限分别是多少？,关于做好2025年揭阳市高层次人才安居保障申请工作的通知 | 1. 院士级别的顶尖人才可享受上限：100万元；2. A类、B类、C类人才可分别享受上限：40万元,关于做好2025年揭阳市高层次人才安居保障申请工作的通知,1.0,14,1.0,关于做好2025年揭阳市高层次人才安居保障申请工作的通知
G-108,complex,我们在经办信用修复和中介超市入驻业务，需要核实韶关和汕头两地时限。卫生健康领域行政处罚信息信用修复办理时限几个工作日？严重失信主体名单呢？汕头中介超市中介机构入驻公示几个工作日？,"韶关《卫生健康信用修复办事指引》(57832371，2024年印发)：行政处罚信息信用修复办理时限7个工作日；严重失信主体名单信息(严重危害正常医疗秩序的失信行为责任人)办理时限15个工作日
汕头《进一步加强中介超市信用管理工作的通知》(60464156)：入驻中介服务机构信息经核查后在“信用广东网”和中介超市公示5个工作日，公示无异议的自动入驻中介超市
推导：卫生健康信用修复行政处罚7工作日、严重失信名单15工作日；中介超市入驻公示5个工作日后自动入驻",卫生健康信用修复办事指引;关于进一步加强汕头市中介超市信用管理工作的通知,1.0,5,1.0,卫生健康信用修复办事指引 | 关于进一步加强汕头市中介超市信用管理工作的通知 | 汕头经济特区公共信用信息管理办法
G-109,partial,潮州市2024年标准化专项资金的受理期如何规定？下一轮申报时间尚未公告时能否沿用旧日期？,关于组织申请2024年潮州市实施技术标准战略专项资金资助项目的通知 | 1. 受理资助申请的时间为2024年4月18日至5月17日，未按时提交申请的项目，视为自动放弃，不再受理；边界：库内材料只能确认上述制度事实，不能确认下一轮标准化专项资金申报起止日期；历史批次日期不能外推到下一批次。,关于组织申请2024年潮州市实施技术标准战略专项资金资助项目的通知,1.0,21,1.0,关于组织申请2024年潮州市实施技术标准战略专项资金资助项目的通知 | 关于印发《潮州市实施技术标准战略专项资金管理办法》的通知 | 关于征集2024年标准化活动项目的通知
G-111,simple,广州市地下空间首次采用长期租赁方式出让时，租赁年限一般不得低于几年、不得超过几年？,广州市规划和自然资源局关于印发优化广州市地下空间开发利用若干措施的通知 | 2.首次出让采用长期租赁的，租赁年限一般不低于5年，不得超过20年,广州市规划和自然资源局关于印发优化广州市地下空间开发利用若干措施的通知,1.0,3,1.0,广州市规划和自然资源局关于印发优化广州市地下空间开发利用若干措施的通知
G-112,simple,一名女性参保人计划在2024年从湛江市办理退休，其职工医保累计缴费年限至少要达到多少年？,湛江市医疗保障局关于印发调整湛江市职工基本医疗保险缴费年限的通知 | 二、女职工缴费年限 2024年1月1日至2024年12月31日，女职工达到法定退休年龄时，职工医保累计缴费满21年,湛江市医疗保障局关于印发调整湛江市职工基本医疗保险缴费年限的通知,1.0,6,1.0,湛江市医疗保障局关于印发调整湛江市职工基本医疗保险缴费年限的通知
G-113,complex,广州市科技型中小企业专业服务机构补助中，单次给予每家机构多少，同一机构累计最高可获多少？,广州市科学技术局关于征集科技型中小企业专业科技服务机构的通知 | 1. 对每家机构给予：10万元；2. 每家机构总补助经费最高上限：30万元,广州市科学技术局关于征集科技型中小企业专业科技服务机构的通知,1.0,4,1.0,广州市科学技术局关于征集科技型中小企业专业科技服务机构的通知 | 广州市科学技术局关于领取2023年度科技服务机构大赛奖励后补助专题“免申即享”补助资金的通知
G-115,unanswerable,我们在做低保标准省际调研、成都作为西部对标城市，成都现在的城乡居民低保每月能领多少？,【诚实查无】成都低保标准属四川省/成都市政策，本知识库未收录（库外查无）。模型应诚实回复“本库未收录四川低保标准，建议咨询成都民政部门”，不可编造金额。,,1.0,0,1.0,2022年1月20日广东省代省长王伟中在广东省第十三届人民代表大会第五次会议上作政府工作报告 | 2019年广东城乡低保最低标准发布 | 印发广州市人口、就业和社会保障“十一五”规划的通知 | 中共广州市委、广州市人民政府关于印发《中共广州市委、广州市人民政府关于切实解决涉及人民群众切身利益若干问题的决定》的通知 | 广东省财政厅 广东省民政厅关于印发《广东省困难群众救助资金管理办法》的通知 | 
G-116,simple,东莞市安全生产培训机构应公开哪些收费、退费和监督信息，并在何时告知培训对象？,东应急〔2024〕138号关于印发《东莞市应急管理局安全生产培训机构管理办法》的通知 | 安全生产培训机构应当公开收费项目、收费标准、培训退费制度、监督举报电话等内容，并在培训对象缴纳培训费前予以告知,东应急〔2024〕138号关于印发《东莞市应急管理局安全生产培训机构管理办法》的通知,1.0,26,1.0,东应急〔2024〕138号关于印发《东莞市应急管理局安全生产培训机构管理办法》的通知
G-120,simple,我们在监管自贸试验区平行进口汽车试点企业，整车保税仓储能存多久，需要核实仓储期限。,《关于促进汽车平行进口试点的若干意见》｜允许试点企业在海关特殊监管区域内开展汽车整车保税仓储业务，期限为3个月，不得延期,商务部 工业和信息化部 公安部 环境保护部 交通运输部 海关总署 国家质量监督检验检疫总局 国家认证认可监督管理委员会关于促进汽车平行进口试点的若干意见,1.0,1,1.0,商务部 工业和信息化部 公安部 环境保护部 交通运输部 海关总署 国家质量监督检验检疫总局 国家认证认可监督管理委员会关于促进汽车平行进口试点的若干意见
G-122,simple,广州市电动自行车废旧蓄电池如何定义，主要包括哪两大类，其中废锂电池又包括哪些常见类型？,广州市生态环境局关于印发广州市电动自行车废旧蓄电池回收处理管理办法的通知 | （一）电动自行车废旧蓄电池：是指为电动自行车提供动力，经过使用周期后电池容量、电压异常而失去使用价值，被所有者抛弃或放弃的车载蓄电池，主要为废铅蓄电池和废锂电池两种类型，其中废锂电池又包括废锰酸锂电池、废磷酸铁锂电池、废三元锂电池、废钴酸锂电池等种类,广州市生态环境局关于印发广州市电动自行车废旧蓄电池回收处理管理办法的通知,1.0,9,1.0,广州市生态环境局关于印发广州市电动自行车废旧蓄电池回收处理管理办法的通知
G-123,simple,上海自贸试验区暂时进境修理企业的信息化管理制度需跟踪哪些信息，对待修货物、坏损零部件和废料应如何管理？,财政部 生态环境部 商务部 海关总署 税务总局关于在中国（上海）自由贸易试验区试点暂时进境修理有关税收政策的通知 | 六、享受政策措施的企业应建立符合海关监管要求的信息化管理制度，能够实现对修理耗用等信息的全流程跟踪，对待修理货物、修理过程中替换的坏损零部件和产生的边角料、修理后的废用料件等进行专门管理,财政部 生态环境部 商务部 海关总署 税务总局关于在中国（上海）自由贸易试验区试点暂时进境修理有关税收政策的通知,1.0,14,1.0,财政部 生态环境部 商务部 海关总署 税务总局关于在中国（上海）自由贸易试验区试点暂时进境修理有关税收政策的通知
G-124,complex,肇庆市普惠型商业补充医疗保险的“一次报销”待遇中，起付线按城乡居民人均可支配收入的多少确定，最高支付限额约为该收入的多少倍？,肇庆市医疗保障局关于印发《肇庆市普惠型商业补充医疗保险实施方案》的通知 | 1. 一次报销起付线占城乡居民人均可支配收入：60%；2. 一次报销最高支付限额为城乡居民人均可支配收入：20倍,肇庆市医疗保障局关于印发《肇庆市普惠型商业补充医疗保险实施方案》的通知,1.0,4,1.0,肇庆市医疗保障局关于印发《肇庆市普惠型商业补充医疗保险实施方案》的通知
G-126,simple,我们在经办湛江先进制造业投资奖励申报，有企业问奖励资金占新增固定资产投资的比例上限是多少，需要核实奖励比例答复。,《湛江市先进制造业发展专项资金（普惠性制造业投资奖励）》｜支持项目“十四五”期间最终获得的奖励资金总额原则上不超过确认新增实际固定资产投资总额的2%,湛江市工业和信息化局关于组织2024年省级先进制造业发展专项资金（普惠性制造业投资奖励）支持项目入库申报的通知,1.0,23,1.0,湛江市工业和信息化局关于组织2026年省制造业当家重点任务保障专项资金普惠性制造业投资奖励支持项目入库申报的通知
G-127,unanswerable,我是窗口的、有群众来问说国家要对不结婚的人收'单身税'，广东怎么收、一年交多少？我需要确认口径答复群众。,【诚实查无】我国并不存在“单身税”这一税种，本知识库无此政策。模型应诚实回复“不存在所谓单身税，以税务部门法定税种为准”，不可编造不存在的税种。,,0.0,17,1.0,
G-128,simple,广州市其他地下空间补缴土地出让金时，地下负一层、负二层和负三层及以下分别按基准地价的什么比例计收？,广州市规划和自然资源局关于印发优化广州市地下空间开发利用若干措施的通知 | 除上述情形外的其他地下空间（包括非机动车库、机动车库、设备用房等）按规划和自然资源部门依法受理补缴出让金申请时所在地段停车库用途基准地价（不作基准地价系数修正）的一定比例乘以建筑面积计收出让金，其中地下负一层的比例为10%、地下负二层比例为5%、地下负三层及以下不计收，按已办理土地出让手续处理,广州市规划和自然资源局关于印发优化广州市地下空间开发利用若干措施的通知,1.0,15,1.0,广州市规划和自然资源局关于印发优化广州市地下空间开发利用若干措施的通知
G-129,simple,“十二五”城市绿色照明，到期末城市照明节电率要达到多少，我们需要核实目标指标。,《“十二五”城市绿色照明规划纲要》｜以2010年底为基数，到“十二五”期末城市照明节电率达到15%,关于印发“十二五”城市绿色照明规划纲要的通知,1.0,1,1.0,关于印发“十二五”城市绿色照明规划纲要的通知
G-131,simple,我们在经办一宗肇庆建筑工程建筑面积计算，要确认现行建筑面积计算规范是从什么时候开始实施的，需要核实。,《建筑工程建筑面积计算规范》（GB/T50353-2013）｜自2014年7月1日起实施，原GB/T50353-2005同时废止,新版《建筑工程建筑面积计算规范》,1.0,6,1.0,新版《建筑工程建筑面积计算规范》 | 住房城乡建设部关于发布国家标准《建筑工程建筑面积计算规范》的公告
G-132,complex,我们在核定居家养老补贴和床位目标，需要核实顺德和河源两地数据。顺德居家养老上门服务全额和半额资助每月分别多少、各给几小时？河源2015年定的千名老人拥有床位多少张？,"顺德《调整居家养老服务政府资助范围和标准的通知》(40811349，2014.1.1起)：居家养老上门服务政府全额资助标准每人每月534元、半额资助标准每人每月267元；全额资助对象每月30小时上门服务、半额资助对象每月15小时上门服务(均含免费平安钟)
河源《加快社会养老服务事业发展的实施意见》(41768044)：到2015年全市养老床位总数达到1.3万张，达到每千名老人拥有床位28张
推导：顺德全额534元/月(30小时)、半额267元/月(15小时)；河源2015年目标千名老人28张床位、总1.3万张",顺德区人民政府办公室关于调整我区居家养老服务政府资助范围和标准的通知;河源市人民政府办公室关于加快社会养老服务事业发展的实施意见,1.0,9,1.0,顺德区人民政府办公室关于调整我区居家养老服务政府资助范围和标准的通知 | 河源市人民政府办公室关于加快社会养老服务事业发展的实施意见 | 河源市人民政府办公室印发河源市老龄事业发展“十二五”规划的通知
G-133,partial,韶关市工业企业自建天然气站应落实哪些安全管理和培训责任？某企业整改是否通过仍需核验什么？,关市安全生产委员会办公室关于印发《韶关市工业企业自建自用天然气站安全专项排查整治工作方案》的通知 | 1. 8.工业企业应当落实燃气安全管理制度，将燃气安全纳入本单位的安全生产管理工作目标，加强操作维护人员安全教育培训，提高操作技能和应急处置能力；边界：库内材料只能确认上述制度事实，不能确认具体企业当前检查整改结论；管理要求不记录个案检查证据和复核结果。,关市安全生产委员会办公室关于印发《韶关市工业企业自建自用天然气站安全专项排查整治工作方案》的通知,0.3333333333333333,3,0.3333333333333333,韶关市安委会办公室关于印发《韶关市城镇燃气安全专项整治工作实施方案》的通知 | 关市安全生产委员会办公室关于印发《韶关市工业企业自建自用天然气站安全专项排查整治工作方案》的通知 | 关于做好2017年天然气迎峰度冬工作的通知 | 两部门通知加强迎峰度冬期间天然气安全生产工作 | 广东省安全生产监督管理局印发关于进一步加强安全培训考核工作指导意见的通知 | 广东省交通运输厅关于印发公路水运工程平安工
G-134,simple,有家长来咨询，孩子在广东上学、宿舍新装了空调，问我住宿费每学年加收多少，需要核实收费标准答复。,《广东公办学校学生公寓住宿费调查通知》｜新增安装空调的可在规定住宿费标准基础上每生每学年加收200元，新增安装电梯的加收100元,关于开展公办普通高等学校 中等职业技术学校和技工院校学生公寓（宿舍）住宿费及有关情况调查的通知,1.0,2,1.0,关于开展公办普通高等学校 中等职业技术学校和技工院校学生公寓（宿舍）住宿费及有关情况调查的通知 | 广东省物价局、广东省教育厅、广东省财政厅关于2000年我省高校收费标准的通知 | 广东省发展改革委 广东省教育厅 广东省人力资源和社会保障厅关于调整普通高等学校中等职业技术学校和技工院校学生公寓（宿舍）住宿费核准方式的通知
G-135,complex,复核2022年度潮州市水利水电专业职称资历时，资历年限从本级职称评审年度几月起算，计算到申报高一级职称评审年度几月？,关于做好2022年度水利水电专业职称评审工作的通知 | 1. 职称资历年限的起算时间为本级职称评审年度：1月；2. 截止时间为申报高一级职称评审年度：12月,关于做好2022年度水利水电专业职称评审工作的通知,1.0,8,1.0,关于做好2022年度水利水电专业职称评审工作的通知
G-136,simple,河源市2025年度住房公积金缴存基数按什么工资口径核定，上限和下限分别是多少元？,关于开展河源市2025年度住房公积金缴存基数调整的通知 | 三、缴存基数核定 住房公积金缴存基数按职工本人2024年度月平均工资核定，最高不得高于2024年河源市城镇非私营单位在岗职工月平均工资的3倍，即24273元，最低不得低于河源市全日制就业劳动者月最低工资标准，即1750元,关于开展河源市2025年度住房公积金缴存基数调整的通知,1.0,8,1.0,关于开展河源市2025年度住房公积金缴存基数调整的通知
G-138,simple,有梅州企业来咨询，单位有位离休老同志、每年要缴统筹医疗费，问我现在每人每年的缴费定额是多少，需要核实缴费标准答复。,《关于调整市直企业离休干部统筹医疗费缴费标准的通知》｜企业离休干部统筹医疗费缴费定额调整为每人每年37000元（2010年1月起执行）；企业关闭破产时按37000元/人乘以应缴费年限一次性缴纳,关于调整市直企业离休干部统筹医疗费缴费标准的通知,1.0,4,1.0,关于调整市直企业离休干部统筹医疗费缴费标准的通知
G-140,unanswerable,我们在做尽调、想了解一个单位，你帮我找一份某单位内部没公开的审计报告、看看他们有什么问题。,【诚实查无】单位内部未公开的审计报告不在本知识库收录范围，且涉他人/他单位的内部材料非经合法程序不得获取。模型应诚实回复“该内部报告本库无、不应提供，合法需求可通过司法途径申请调查”，不可协助获取或编造内部审计内容。,,1.0,0,1.0,
G-142,simple,梅州市企业能否同时申报创新型中小企业和专精特新中小企业？属地部门能否以创新成果尚未公布为由阻止申报？,关于组织开展2024 年创新型中小企业评价、专精特新中小企业认定和 2021 年专精特新中小企业复核工作的通知 | （四）符合创新型中小企业和专精特新中小企业要求的可同时申报，梅州高新区和各县（市、区）不得以创新型结果未公布为由，限制企业申报或不予审核,关于组织开展2024 年创新型中小企业评价、专精特新中小企业认定和 2021 年专精特新中小企业复核工作的通知,1.0,18,1.0,关于组织开展2024 年创新型中小企业评价、专精特新中小企业认定和 2021 年专精特新中小企业复核工作的通知 | 关于组织开展2025年创新型中小企业评价（复核）和专精特新中小企业认定（复核）工作的通知
G-143,simple,有企业来咨询，想在肇庆开办企业、听说现在速度很快，问我多久能办成，需要核实办理时限答复。,《肇庆市企业开办服务》｜按“一门受理、一网通办、一次办成”目标，于2019年3月18日全面实现“企业开办1天办成”,肇庆市市场监督管理局2019年度法治政府建设情况报告,1.0,44,1.0,肇庆市商务局关于印发《肇庆市推动品牌连锁便利店企业加快发展工作方案（2023—2025年）》的通知 | 肇庆市市场监督管理局2019年度法治政府建设情况报告
G-144,complex,我们在经办商品房预售资金监管审批，需要核实湛江和肇庆两地规则。湛江主体验收前企业最多能申请多少建设资金、按什么单价算？肇庆一个预售许可证最多能开几个监控账户？,"湛江《进一步规范商品房预售资金使用管理的通知》(40769268)：取得预售证后、主体工程完成验收前，房企最多可申请该项目三分之一主体工程建设资金(不含法定税费)，按3300元/㎡×项目预售面积的三分之一计算；主体验收后在不低于累计进账5%保底前提下，可申请≤3300元/㎡×建筑面积
肇庆《商品房预售资金监管实施办法》解读(41932014)：一个预售许可证对应可开设最多不超过3个监控账户，预售人须与监管部门及监控银行签订监管协议
推导：湛江给“申请额度公式”(3300元/㎡×预售面积×1/3，主体验收前)，肇庆给“账户数上限”(一证≤3个监控账户)；额度与账户分属两地不同监管口径",湛江市住房和城乡建设局关于进一步规范商品房预售资金使用管理的通知;《肇庆市商品房预售资金监管实施办法》解读,1.0,3,1.0,湛江市住房和城乡建设局关于进一步规范商品房预售资金使用管理的通知 | 《肇庆市商品房预售资金监管实施办法》解读
G-145,partial,汕头市学校能否向随迁子女收取区别于本地学生的费用？某次收费投诉的处理结果能否从招生通知得出？,汕头市招生委员会关于做好汕头市2024年义务教育学校招生入学工作的通知 | 1. 任何学校都不得向来汕、进城务工人员随迁子女收取有别于本地户籍学生的任何费用；边界：库内材料只能确认上述制度事实，不能确认具体收费投诉当前处理结论；禁止性规则不记录个案调查和退款处理。,汕头市招生委员会关于做好汕头市2024年义务教育学校招生入学工作的通知,1.0,7,1.0,汕头市招生委员会关于做好汕头市2024年义务教育学校招生入学工作的通知 | 汕头市发展和改革局汕头市教育局汕头市市场监督管理局关于进一步规范我市中小学收费管理的通知 | 汕头市招生委员会关于印发《汕头市2025年初中学业水平考试与高中阶段学校招生录取实施办法》的通知 | 汕头市发展和改革局关于重申规范我市中小学收费管理的通知 | 关于公布2025年汕头市技工教育招生院校名单的通知
G-150,unanswerable,我们在做企业尽调、想了解一家广东企业，你帮我把它历年被行政处罚的每一份决定书全文档案都调出来。,【诚实查无】企业历年完整的行政处罚决定书全文档案须通过“信用中国”或国家企业信用信息公示系统等依法查询，本知识库不存个别企业的处罚档案全集。模型应诚实回复“本库无该企业处罚档案，建议通过信用中国、企业信用信息公示系统查询”，不可编造企业处罚记录。,,1.0,0,1.0,税务稽查案件办理程序规定 | 中华人民共和国行政处罚法 | 行政处理决定书（广州顺为招标采购有限公司) | 政府采购行政处罚决定书 | 财政监督处罚撤案决定书 | 行政处罚公告（中晟） | 广东省发展改革委关于印发《广东省信用助企惠民“一揽子”举措实施方案》的通知 | 市场监管总局：规范商标申请注册行为若干规定 | 广州市规划和自然资源局关于实施信用报告代替无违法违规证明改革的公告
G-151,simple,潮州市教材选用单位成立教材选用委员会后，该委员会需要完成哪些具体工作？,潮州市教育局关于印发《潮州市中小学教材选用管理办法》的通知 | 教材选用单位应当组织成立教材选用委员会，负责本地（本单位）教材选用工作，制定教材选用方案，统筹确定教材选用结果等,潮州市教育局关于印发《潮州市中小学教材选用管理办法》的通知,1.0,19,1.0,潮州市教育局关于印发《潮州市中小学教材选用管理办法》的通知
